Question,Answer
Hi,"Hello,How can I help you?"
Hello,"Hello,How can I help you?"
Hey,"Hello,How can I help you?"
Howdy,"Hello,How can I help you?"
How to approve an appointment, Contact hospital staff for appointment approval.
How to create patient records, Please choose Create Patient Diagnosis option on the side bar.
How to update patient records, Please choose Records option on the side bar.
How to view the patient records, Please choose Records option on the side bar.
How to remove diagnosis information of the patients, Please choose Records option on the side bar.
How to create prescription records, Please choose Create Patient Diagnosis option on the side bar.
How to recommend lab tests, Please choose Create Patient Diagnosis option on the side bar.
How to view the last test reports, Please choose Records option on the side bar.
