Question,Answer
Hi,"Hello,How can I help you?"
Hello,"Hello,How can I help you?"
Hey,"Hello,How can I help you?"
Howdy,"Hello,How can I help you?"
How to approve an appointment, Please choose Appointments option on the side bar.
How to create patient records, Please choose Create Patient Info option on the side bar.
How to view the patient records, Please choose View Patient Records option on the side bar.
How to view diagnosis of the patients, Please choose View Patient Records option on the side bar.
How to view prescriptions, Please choose View Patient Records option on the side bar.
Where to view lab/test reports, Please choose View Patient Records option on the side bar.
How to create transaction request, Please choose Transactions option on the side bar.
How to complete the transaction request, Please choose Transactions option on the side bar.
