Question,Answer
Hi,"Hello,How can I help you?"
Hello,"Hello,How can I help you?"
Hey,"Hello,How can I help you?"
Howdy,"Hello,How can I help you?"
How to create lab test reports?,Please choose Lab Tests option on the side bar.
How to update lab test reports?,Please choose Lab Reports option on the side bar.
How to delete lab test reports?,Please choose Lab Reports option on the side bar.
How to view diagnosis information of the patients,Please choose Lab Tests option on the side bar.
How to approve requests for tests received,"If the request is approved by doctor,Please choose Lab Reports option on the side bar."
How to deny requests for tests received,"If the request is denied by doctor,Please choose Lab Reports option on the side bar."
