Question,Answer
Hi,"Hello,How can I help you?"
Hello,"Hello,How can I help you?"
Hey,"Hello,How can I help you?"
Howdy,"Hello,How can I help you?"
How to make an appointment,Please choose Book Appointments option on the side bar.
How to update an appointment,Please choose Book Appointments option on the side bar.
How to cancel an appointment,Please choose Book Appointments option on the side bar.
How to update personal information,Please choose Profile option on the side bar.
Where to request reports and statements,Please choose Transactions option on the side bar.
Where to view receipts,Please choose Transactions option on the side bar.
How to view records,Please choose Medical Records option on the side bar.
How to view diagnosis,Please choose Medical Records option on the side bar.
How to view medical prescriptions,Please choose Medical Records option on the side bar.
How to request lab tests,Please choose Medical Records option on the side bar.
How to view payments,Please choose Transactions option on the side bar.
How to view transactions,Please choose Transactions option on the side bar.
What should I bring with me when I am admitted to hospital,"In order to participate fully in your therapies we encourage you to dress in comfortable, casual clothing. All clothing should be labeled with your name. In addition, you should bring: Any items that were used on a regular basis prior to your illness, such as eyeglasses, hearing aids, dentures, and the appropriate containers.Sturdy shoes or sneakers and loose socks, if appropriate.Loose-fitting pants or sweatpants, shirts that are comfortable and easy to put on, undergarments, bathrobe, and pajamas.A seasonal coat or jacket, to take advantage of our courtyards and pathways,Laundry bag,Toiletries,Electric razor"
What laundry services are available,"Laundry services are available at the hospital, although family members are encouraged to launder patients' clothing. There are washers and dryers on the units for you and your family members to use"
Should I keep my own medications with me,All medications ordered by your physician are provided by Hospital and distributed by your nurse. Please speak with your nurse if you have any questions.
Will my personal physician care for me during my stay,You will be cared for by a physician employed by Hospital for Special Care who is available to see you frequently and coordinate your care with your Special Care Team. Your personal physician will receive reports on your condition and all the necessary information to continue your care following your discharge.
How often is mail delivered,"Mail is distributed daily, except Sunday. Email availability may be arranged through your team"
Will I have my own room,"Most rooms are semi-private. We do have a limited number of private rooms, but first priority must be given to those requiring a private room for isolation purposes or other medical or equipment needs. We make every attempt to honor wishes for private rooms, but one cannot be guaranteed for the duration of your hospitalization."
Will there be a telephone in my room,"Telephones are provided in all patient rooms except the Neurobehavioral Program (NBP), Pediatric Unit and Autism Inpatient Unit (AIU). Only local calls may be made from these phones. For other types of calls, please contact a member of your team. Special telephones for the hearing impaired are available. Other needs may be addressed with your case manager."
Will there be a television in my room,"Televisions are provided free-of-charge in all patient rooms except the in the NBP, Pediatrics and AIU."
Is there a chapel or religious services,"The Interdenominational Chapel is open 24 hours a day. Religious services are held on Sunday mornings, on holidays, and as otherwise appropriate. The hospital has a Spiritual Care program staffed by chaplains"
Can I go home for a visit,"A home visit may be necessary shortly before discharge in order to ensure that you may return to home safely. You may request a day pass to leave the hospital to visit your family. Some insurance companies, however, do not allow day passes."
